movieId,title
6386,Nevada Smith (1966)
6412,Destry Rides Again (1939)
6422,Shenandoah (1965)
6428,Two Mules for Sister Sara (1970)
6429,Winchester '73 (1950)
6461,"Unforgiven, The (1960)"
6617,Open Range (2003)
6691,Dust (2001)
6785,Seven Brides for Seven Brothers (1954)
6950,"Missing, The (2003)"
7027,Silverado (1985)
7070,Red River (1948)
7072,Stagecoach (1939)
7218,"Ox-Bow Incident, The (1943)"
7379,The Alamo (2004)
7614,Oklahoma! (1955)
7889,Pat Garrett and Billy the Kid (1973)
7894,"Duck, You Sucker (1971)"
7896,Ride the High Country (1962)
8094,Bad Day at Black Rock (1955)
8481,Northwest Passage (1940)
25959,Annie Get Your Gun (1950)
26142,Major Dundee (1965)
26249,They Call Me Trinity (1971)
26258,"Topo, El (1970)"
26649,Lonesome Dove (1989)
26750,Quigley Down Under (1990)
26901,Last of the Dogmen (1995)
27105,Purgatory (1999)
27450,Blueberry (2004)
27683,Tremors 4: The Legend Begins (2004)
32392,800 Bullets (800 Balas) (2002)
32515,Walker (1987)
33126,"Frisco Kid, The (1979)"
37211,Go West (1940)
39381,"Proposition, The (2005)"
39435,"Legend of Zorro, The (2005)"
42556,7 Faces of Dr. Lao (1964)
43419,Bandidas (2006)
49389,The Great Train Robbery (1903)
54121,Broken Arrow (1950)
54997,3:10 to Yuma (2007)
55363,"Assassination of Jesse James by the Coward Robert Ford, The (2007)"
56782,There Will Be Blood (2007)
61289,Sukiyaki Western Django (2008)
61986,Appaloosa (2008)
63853,Australia (2008)
66785,"Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom) (2008)"
70492,Winds of the Wasteland (1936)
75389,"Burrowers, The (2008)"
77931,Stingray Sam (2009)
78467,Jonah Hex (2010)
78620,"Scalphunters, The (1968)"
81132,Rubber (2010)
81681,I Shot Jesse James (1949)
82459,True Grit (2010)
82857,Sweetgrass (2009)
83374,"Warrior's Way, The (2010)"
83613,Cowboys & Aliens (2011)
84944,Rango (2011)
93193,Red Hill (2010)
99114,Django Unchained (2012)
103384,"Lone Ranger, The (2013)"
111743,A Million Ways to Die in the West (2014)
115216,"Salvation, The (2014)"
119828,A Man Called Blade (1977)
125221,The Beast of Hollow Mountain (1956)
128087,Trinity and Sartana Are Coming (1972)
128360,The Hateful Eight (2015)
128695,The Dark Valley (2014)
133802,Slow West (2015)
144976,Bone Tomahawk (2015)
146024,A Man from Boulevard des Capucines (1987)
148652,The Ridiculous 6 (2015)
157108,Texas - Doc Snyder hält die Welt in Atem (1993)
162350,The Magnificent Seven (2016)
171759,The Beguiled (2017)
175197,The Dark Tower (2017)
